majr,desc,cip
4604,Building/Const Mgmt & Insp.,4604
4605,Plumb & Rel Water Supply Svcs.,4605
4699,"Construction Trades, Other.",4699
46AP,Building/Construction Site Man,460412
4700,"Mechanics and Repairers, Gen.",4700
4701,Elect/Electr Maint & Rep Tech.,4701
4702,"Heat AC, & Ref Main Tech/Techn",4702
4703,Heavy/Indust Equip Maint Tech.,4703
4704,Precision Sys & Repair Tech.,4704
4706,Vehicle Maint & Repair Tech.,4706
4799,"Mech & Repair Tech/Techn, Oth.",4799
47AL,Indusrial Mechanics and Maint,470303
4800,"Precision Prod Trades, Gen.",4800
4803,Leatherworking and Upholstery.,4803
4805,Precision Metal Working.,4805
4807,Woodworking.,4807
4808,Boilermaking/Boilermaker.,4808
4899,"Precision Production, Other.",4899
4901,Air Transportation.,4901
4902,Ground Transportation.,4902
4903,Marine Transportation.,4903
4999,"Trans & Materials Moving, Oth.",4999
5001,"Visual & Performing Arts, Gen.",5001
5002,"Crafts, Folk Art & Artisanry.",5002
5003,Dance.,5003
5004,Design and Applied Arts.,5004
5005,Drama/Theatre Art & Stagecraft,5005
5006,Film/Video & Photographic Arts,5006
5007,Fine and Studio Arts.,5007
5009,Music.,5009
5010,"Arts, Ent'ment & Media Mgmt.",5010
5099,"Visual & Performing Arts, Oth.",5099
5100,"Health Svcs/Health Sci, Gen.",5100
5101,Chiropractic.,5101
5102,Comm Disorders Sci & Svcs.,5102
5104,Dentistry.,5104
5105,Adv/Grad Dentistry & Oral Sci.,5105
5106,Dental Sup Svcs & Allied Prof.,5106
5107,Health & Med Admin Services.,5107
5108,Allied Hlth & Med Assist Svcs.,5108
5109,Allied Hlth Diag & T'ment Prof,5109
5110,Med Lab Sci/Resrch & Alld Prof,5110
5111,Health/Medical Prep Programs.,5111
5112,Medicine.,5112
5114,Med Clinical Sci/Grad Med Stds,5114
5115,Ment & Hlth Svcs & All'd Prof,5115
5116,Nursing.,5116
5117,Optometry.,5117
5118,Oph & Opto Svcs & Alld Prof.,5118
5119,Osteo. Medicine/Osteopathy,5119
5120,"Pharma, Pharmaceut Sci & Admin",5120
5121,Podiatric Medicine/Podiatry.,5121
5122,Public Health.,5122
5123,Rehab and Therapeutic Prof.,5123
5124,Veterinary Medicine.,5124
5125,Vet Biomed & Clinical Sci.,5125
5126,Hlth Aides/Attendants/Ord'lies,5126
5127,Med Illustration & Informatics,5127
5131,Dietetics & Clin Nutrit. Svcs.,5131
5132,Bioethics/Medical Ethics.,5132
5133,Alt & Compl Med & Med Systems.,5133
5134,Alt & Compl Med Support Svcs.,5134
5135,Som' Bodywork & Rel Thera Svcs,5135
5136,M'ment & Mind-Body Thera & Edu,5136
5137,Energy & Biol Based Therapies.,5137
5138,"Reg Nur. Nur Admin, Clin Nur.",5138
5139,Prac Nur. Voc Nur & Nur Assist,5139
5199,"Hlth Prof & Rel Clin Sci, Oth.",5199
51AD,Communication Sciences and Dis,510201
51DH,Clinical Laboratory Science/Me,511005
51EA,Medicine,511201
51EF,Community Health Services,511504
51EG,Marriage and Family Therapy,511505
51EJ,Mental Health Counseling,511508
51GG,Health Services Administration,512211
51GL,Music Therapy/Therapist,512305
51GV,Rehabilitation & Therapuetics,512399
5201,"Business/Commerce, General.",5201
5202,"Business Admin, Mgmt & Ops.",5202
5203,Accounting & Related Services,5203
5204,Bus Ops Spprt & Assistant Svcs,5204
5205,Business/Corporate Comms.,5205
5206,Business/Managerial Economics.,5206
5207,Entrepreneurial & Sm. Bus Ops.,5207
5208,Finance & Financial Mgmt Svc.,5208
5209,Hospitality Admin/Management,5209
5210,Human Resources Mgmt & Svcs.,5210
5211,International Business.,5211
5212,Management Info Sys & Svcs.,5212
5213,Mgmt Sci & Quantitative Mthds.,5213
5214,Marketing.,5214
5215,Real Estate.,5215
5216,Taxation.,5216
5217,Insurance.,5217
5218,Gen Sales & Related Market Ops,5218
5219,Spec Sales & Marketing Ops,5219
5220,Construction Management.,5220
5221,Telecommunications Management.,5221
5299,"Bus, Mgmt & Rel Sppt Svcs, Oth",5299
52BS,Hospitality Administration,520901
52DD,Fashion Merchandising,521902
5301,HS/Secondary Diploma Programs.,5301
5302,HS/Secondary Cert Programs.,5302
5401,History.,5401
6001,Dental Residency Programs.,6001
6002,Medical Residency Programs.,6002
6003,Veterinary Residency Programs.,6003
6004,Med Res Programs - Gen Certs.,6004
6005,Med Res Prgrms - Subspec Certs,6005
6006,Podiatric Med Res Programs.,6006
ACCT,Accounting,520301
ACDD,Adv Curric Desgn - Diff Clsrm,130301
ACMS,Accountancy,520301
ACSC,Actuarial Science,521304
ACST,American Culture & Difference,50102
ADSA,Advert & Sales Promotion,521899
AERO,Aerospace Studies,280101
AHCT,Teaching College Art History,500703
AHMS,Museum Studies,301401
AMBA,Accounting MBA,520301
APST,Applied Statistics,270501
ARSC,Air-Science,280199
ART3,Two Dimensional Studio,500702
ART4,Art History: Individualized,500703
ARTH,Art History,500703
BCH1,Biochemistry,260202
BCOM,Business Communication,520501
BGDT,Big Data,110802
BINF,Bioinformatics,261103
BIOL,Biology,260101
BIOS,Biology (BS),260101
BOAT,Business Analytics (Online),521302
BOGH,Biology of Global Health,302701
BSDA,Data Analytics,110802
BUAC,Bus Admin - Accounting,520301
BUAD,Business Administration,520201
BUAN,Business Analysis,110103
BUAT,Business Analytics,521302
BUBC,Bus Admin - Communication,520299
BUCC,Corporate Communication,520501
BUDA,Data Analytics,3000
BUDE,Digital Experience,520201
BUEC,Executive Coaching,139999
BUED,Business Education,130499
BUEN,Bus Admin - Entrepreneurship,520701
BUFI,Bus Admin - Financial Mgmt,520801
BUFM,Bus Admin - Family Business,520799
BUGB,Bus Admin - Gen Business Mgmt,520201
BUGL,Global Business,520201
BUGS,Strategic Growth,520201
BUHR,Bus Admin - Human Resc Mgmt,521001
BUIB,Bus Admin - Intl Business,521101
BULM,Bus Admin - Leadership& Mgmt,520299
BULS,Bus Adm - Legal Studies in Bus,520299
BUMC,Marketing Communication,521401
BUMK,Bus Admin - Marketing Mgmt,521401
BUOD,Trans Chg & Org Development,520213
BUOP,Bus Admin - Operations Mgmt,520205
BURE,Bus Adm - Real Estate Studies,521501
BUSR,Strategic Risk & Resp,520201
BWRT,Business Writing,520501
BZBC,GMAC Business & Commerce,520601
BZCS,GMAC Computer Science,110101
BZEC,GMAC Economics,520601
BZEN,GMAC Engineering,141301
BZHU,GMAC Humanities,240103
BZLW,GMAC Law,220101
BZMA,GMAC Math,279999
BZSC,GMAC Science,301501
BZSS,GMAC Social Science,450101
BZZZ,GMAC Other Major,999999
CAAS,Advanced Appraisal Study,521501
CASL,Catholic School Leadership,390401
CATH,Catholic Studies,380201
CCRP,Critical Pedagogy,130301
CENG,Civil Engineering,140801
CGFT,Gifted Creative & Talented Edu,131004
CHDC,Chemical Dependency Counseling,511501
CHE1,Chemistry (ACS Certified),400501
CHEM,Chemistry,400501
CIED,Curr & Instr Educ K-12,130301
CIEL,Curr & Instr Elementary,130301
CIIS,Curr & Instr-Individualized,130301
CIKL,Keyboarding K-8,130301
CIME,Mulitcultural Education,130202
CIRE,Reading K-12,131315
CIRL,Reading Teacher K-12,131315
CISE,Curr & Instr Secondary,130301
CJCM,COJO Creative Multimedia,90101
CJIC,COJO Interpersonal Comm,90101
CJJO,COJO Journalism,90101
CJPS,COJO Persuasion/Soc Influence,90101
CJSC,COJO Strategic Communications,90101
CLAS,Classical Civilization,302202
CLET,Learning Technology,139999
CLTN,Literacy & Technology,139999
COEN,Computer Engineering,140901
COJO,Communication and Journalism,99999
COMC,Commerce,520201
COMM,Communication Studies,90101
CONT,Graduate Continuing Education,139999
CPCM,Computer Communications,110901
CPCS,Computer Security,111003
CPFP,Family Psychology,422811
CPLC,Professional Counselor,422803
CPSY,Counseling Psychology,422803
CREL,Reading: Elementary,131315
CRIN,Curriculum And Instruction,130301
CRSE,Reading: Secondary,131315
CSBS,Computer Science (BS),110701
CSIA,Computer Science,110701
CSIB,Computer Sci. (Masters Track),110199
CSIC,Information Systems (IS),110401
CSID,Information Technology (IT),110103
CSIE,Information Security,111003
CSIF,Information & Decision Theory,270599
CSIG,Computer & Information Science,110701
CSIH,Info Systems (Masters Track),110401
CSIM,Comp Science BS (Master Track),110101
CSSD,Software Design & Development,110103
CTEC,New Communications Tech,529999
DAAP,American Politics,NULL
DABI,Biology,NULL
DACH,Chemistry,NULL
DACJ,Criminal Justice,NULL
DAEN,Economics,NULL
DAES,Environmental Science,NULL
DAGE,Geology,NULL
DAGS,Geographic Information Systems,NULL
DAPH,Physics,NULL
DAPU,Public Health,NULL
DBIR,Data Management,110802
DMIN,Doctor Of Ministry,390699
DSAI,Artificial Intelligence,110103
DTHR,Theater Arts and Dance (K-12),131324
EAST,East Asian Studies,50104
ECB1,Economics - Business,450601
ECCC,Community College Teaching,131299
ECCE,Grad Cert Executive Coaching,139999
ECEL,Catholic Educ Leadership,139999
ECHL,Charter School Leadership,130401
ECI1,Economics - International,450605
ECIL,International Leadership,302001
ECM1,Economics - Mathematical,450603
ECME,Mathematics Education,131311
ECON,Economics,450601
ECP1,Economics - Public Policy,450604
ECPD,Public Policy and Leadership,440501
ECSA,Leadership In Student Affairs,130406
EDAA,Athletics & Activities Admin,130499
EDBA,Business Administration,130499
EDCL,Community Education Licensure,130499
EDCM,Community Education Admin,130499
EDIL,International Leadership,302001
EDLE,Leadership,130401
EDLL,Educ Leadership & Learning,130401
EDML,Leadership,520213
EDPD,Public Policy & Leadership,440501
EDPL,Police Leadership,430103
EDSA,Leadership In Student Affairs,130406
EDSB,School Business Officer,130499
EDSL,Publc Safety & Law Enfr Ldrshp,430103
EDUC,Education,1301
